Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: allocalot,Param: execName,Param: isVirtual,Param: queue,Param: singleshot,Param: stackDepth,Param: stackFrame,Param: threads
micro.Ring.trip,thrpt,1,20,0.003104,8E-05,ops/ms,false,single,false,sq,false,1,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.569923,NaN,clks/insn,false,single,false,sq,false,1,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.636974,NaN,insns/clk,false,single,false,sq,false,1,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,false,sq,false,1,1,20000
micro.Ring.trip,thrpt,1,20,0.002978,0.00011,ops/ms,false,single,false,sq,false,32,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.580614,NaN,clks/insn,false,single,false,sq,false,32,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.632665,NaN,insns/clk,false,single,false,sq,false,32,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,false,sq,false,32,1,20000
micro.Ring.trip,thrpt,1,20,0.002877,0.000158,ops/ms,false,single,false,sq,false,64,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.609284,NaN,clks/insn,false,single,false,sq,false,64,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.621394,NaN,insns/clk,false,single,false,sq,false,64,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,false,sq,false,64,1,20000
micro.Ring.trip,thrpt,1,20,0.002808,8.7E-05,ops/ms,false,single,false,sq,false,128,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.613701,NaN,clks/insn,false,single,false,sq,false,128,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.619693,NaN,insns/clk,false,single,false,sq,false,128,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,false,sq,false,128,1,20000
micro.Ring.trip,thrpt,1,20,0.002769,7.4E-05,ops/ms,false,single,false,sq,false,140,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.60322,NaN,clks/insn,false,single,false,sq,false,140,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.623745,NaN,insns/clk,false,single,false,sq,false,140,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,false,sq,false,140,1,20000
micro.Ring.trip,thrpt,1,20,0.002799,3.6E-05,ops/ms,false,single,false,sq,false,160,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.587959,NaN,clks/insn,false,single,false,sq,false,160,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.629739,NaN,insns/clk,false,single,false,sq,false,160,1,20000
